"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0W170","2019-10-10 00:00:00","42.000","43.000","2.700","23.800","0.720","1010.600","","0.000","-99.000","-99.000","-99.000","24.300","","22.200",""
"C0Z150","2019-10-10 00:00:00","27.000","243.000","2.400","23.000","0.990","1013.100","","3.000","-99.000","-99.000","-99.000","27.200","","21.600",""
"C0V400","2019-10-10 00:00:00","56.000","98.000","1.200","26.400","0.870","1006.700","","0.000","-99.000","-99.000","-99.000","30.500","","25.100",""
"C0M800","2019-10-10 00:00:00","440.000","64.000","0.600","22.300","0.920","965.400","","0.000","-99.000","-99.000","-99.000","29.700","","22.000",""
"C0A570","2019-10-10 00:00:00","360.000","0.000","0.000","19.700","0.980","975.800","","2.000","-99.000","-99.000","-99.000","23.600","","19.700",""
"C0S790","2019-10-10 00:00:00","236.000","360.000","0.700","22.200","0.910","989.700","","0.500","-99.000","-99.000","-99.000","27.300","","21.100",""
"C0D590","2019-10-10 00:00:00","143.000","51.000","2.700","22.900","0.810","999.100","","0.000","-99.000","-99.000","-99.000","29.600","","22.700",""
"C0U990","2019-10-10 00:00:00","31.000","264.000","1.500","22.300","0.920","1013.400","","22.500","-99.000","-99.000","-99.000","25.200","","20.900",""
"C0M700","2019-10-10 00:00:00","150.000","91.000","1.000","24.800","0.830","997.400","","0.000","-99.000","-99.000","-99.000","30.800","","24.400",""
"C0A970","2019-10-10 00:00:00","96.000","18.000","4.600","23.600","0.850","1005.800","","0.000","-99.000","-99.000","-99.000","27.900","","23.400",""
"CM0110","2019-10-10 00:00:00","7.000","54.000","1.800","25.000","0.720","1013.100","","0.000","-99.000","-99.000","-99.000","30.300","","24.200",""
"C0S940","2019-10-10 00:00:00","150.000","358.000","1.100","22.100","0.950","997.900","","0.500","-99.000","-99.000","-99.000","27.200","","21.900",""
"C0X250","2019-10-10 00:00:00","33.000","161.000","1.600","26.600","0.840","1009.800","","0.000","-99.000","-99.000","-99.000","31.000","","26.000",""
"C0K520","2019-10-10 00:00:00","10.000","36.000","1.300","25.200","0.790","1011.600","","0.000","-99.000","-99.000","-99.000","30.600","","24.300",""
"C0Z200","2019-10-10 00:00:00","153.000","0.000","0.100","21.900","0.990","999.400","","4.000","-99.000","-99.000","-99.000","26.100","","19.900",""
"C0V740","2019-10-10 00:00:00","60.000","91.000","1.600","26.100","0.780","1008.000","","0.000","-99.000","-99.000","-99.000","31.400","","24.400",""
"C0V790","2019-10-10 00:00:00","410.000","14.000","2.100","22.300","0.980","967.500","","1.000","-99.000","-99.000","-99.000","30.800","","21.800",""
"C0G860","2019-10-10 00:00:00","45.000","0.000","0.000","26.200","0.810","1007.000","","0.000","-99.000","-99.000","-99.000","32.100","","25.800",""
"C0F0A0","2019-10-10 00:00:00","3587.000","95.000","2.600","5.800","0.610","666.200","","0.000","-99.000","-99.000","-99.000","11.700","","-0.100",""
"C0Z250","2019-10-10 00:00:00","1124.000","0.000","0.000","17.800","0.990","892.900","","0.500","-99.000","-99.000","-99.000","21.900","","15.100",""
"C0K440","2019-10-10 00:00:00","35.000","4.000","1.300","24.400","0.840","1009.900","","0.000","-99.000","-99.000","-99.000","30.900","","23.900",""
"C0T900","2019-10-10 00:00:00","160.000","0.000","0.000","21.900","0.940","996.100","","1.000","-99.000","-99.000","-99.000","26.900","","21.400",""
"C0F9V0","2019-10-10 00:00:00","525.000","179.000","1.900","23.800","0.850","956.700","","0.000","-99.000","-99.000","-99.000","29.500","","21.600",""
"C0UA20","2019-10-10 00:00:00","2619.000","210.000","1.800","8.700","1.000","-99.000","","0.000","-99.000","-99.000","-99.000","17.400","","8.000",""
"C0M850","2019-10-10 00:00:00","695.000","0.000","0.000","21.300","0.990","936.400","","1.000","-99.000","-99.000","-99.000","28.000","","20.900",""
"C0G790","2019-10-10 00:00:00","27.000","0.000","0.000","25.100","0.890","1012.500","","0.000","-99.000","-99.000","-99.000","33.200","","24.700",""
"C0C620","2019-10-10 00:00:00","19.000","62.000","1.100","23.100","0.800","1012.000","","0.000","-99.000","-99.000","-99.000","30.300","","22.900",""
"C0I360","2019-10-10 00:00:00","300.000","103.000","1.200","24.900","0.790","979.300","","0.000","-99.000","-99.000","-99.000","29.700","","23.300",""
"C0M810","2019-10-10 00:00:00","1354.000","126.000","0.600","17.200","0.980","868.300","","0.000","-99.000","-99.000","-99.000","21.200","","16.900",""
